original	reordered
Ribowska Malka	Malka Ribowska
Gourary Manuela	Manuela Gourary
Barthod Many	Many Barthod
Cassot Marc	Marc Cassot
Darnault Marc	Marc Darnault
Duret Marc	Marc Duret
Fayolle Marc	Marc Fayolle
Lamole Marc	Marc Lamole
Pheline Marc	Marc Pheline
André Marcel	Marcel André
Bozzuffi Marcel	Marcel Bozzuffi
Cariven Marcel	Marcel Cariven
Charvey Marcel	Marcel Charvey
Hauriac Marcel	Marcel Hauriac
Lestan Marcel	Marcel Lestan
Roma Marcel	Marcel Roma
Sicard Marcel	Marcel Sicard
Tristani Marcel	Marcel Tristani
Dornac Marcelle	Marcelle Dornac
Géniat Marcelle	Marcelle Géniat
Hainia Marcelle	Marcelle Hainia
Praince Marcelle	Marcelle Praince
Ranson Marcelle	Marcelle Ranson
Lion Margo	Margo Lion
Neville Margot	Margot Neville
Cassan Marguerite	Marguerite Cassan
Perrin Marguerite	Marguerite Perrin
Pierry Marguerite	Marguerite Pierry
Laborit Maria	Maria Laborit
Mauban Maria	Maria Mauban
Tamar Maria	Maria Tamar
Dubois Marie	Marie Dubois
Letourneur Marie	Marie Letourneur
Martine Marie	Marie Martine
Vouilloux Marie	Marie Vouilloux
Ropp Mario	Mario Ropp
Game Marion	Marion Game
Mercadier Marthe	Marthe Mercadier
Lewis Martin	Martin Lewis
Trévières Martin	Martin Trévières
Couture Martine	Martine Couture
Ferrière Martine	Martine Ferrière
Sarcey Martine	Martine Sarcey
Marie Martine-actrice	Martine-actrice Marie
Paillet Maryse	Maryse Paillet
Ortlieb Mathieu	Mathieu Ortlieb
Casadesus Mathilde	Mathilde Casadesus
Rayer Maud	Maud Rayer
Barnay Maurice	Maurice Barnay
Bastide Maurice	Maurice Bastide
Biraud Maurice	Maurice Biraud
Bourbon Maurice	Maurice Bourbon
Chevit Maurice	Maurice Chevit
Cury Maurice	Maurice Cury
Decraiene Maurice	Maurice Decraiene
Dekobra Maurice	Maurice Dekobra
Dorleac Maurice	Maurice Dorleac
Ellabert Maurice	Maurice Ellabert
Marrou Maurice	Maurice Marrou
Nasil Maurice	Maurice Nasil
Pierrat Maurice	Maurice Pierrat
Renard Maurice	Maurice Renard
Renault Maurice	Maurice Renault
Roland Maurice	Maurice Roland
Ronet Maurice	Maurice Ronet
Sarfati Maurice	Maurice Sarfati
Teynac Maurice	Maurice Teynac
Travail Maurice	Maurice Travail
Amyl Max	Max Amyl
Harry Max	Max Harry
Megy Max	Max Megy
Aubin Maxime	Maxime Aubin
Halliday Michael	Michael Halliday
Underwood Michael	Michael Underwood
Averlant Michel	Michel Averlant
Barbey Michel	Michel Barbey
Beaume Michel	Michel Beaume
Beaune Michel	Michel Beaune
Bouquet Michel	Michel Bouquet
Boy Michel	Michel Boy
Clainchy Michel	Michel Clainchy
Cousin Michel	Michel Cousin
Creton Michel	Michel Creton
Dodane Michel	Michel Dodane
Dumur Michel	Michel Dumur
Duplessis Michel	Michel Duplessis
Etcheverry Michel	Michel Etcheverry
Ferrand Michel	Michel Ferrand
Fiszbin Michel	Michel Fiszbin
Fizbin Michel	Michel Fizbin
Fustier Michel	Michel Fustier
Granvale Michel	Michel Granvale
Lebrun Michel	Michel Lebrun
Mery Michel	Michel Mery
Morano Michel	Michel Morano
Nastorg Michel	Michel Nastorg
Parier Michel	Michel Parier
Paulin Michel	Michel Paulin
